"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"INGR","Ingredion Incorporated","89.94","6004753350.54","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ingr",
"IMTE","Integrated Media Technology Limited","7.95","26850218.7","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/imte",
"IPAR","Inter Parfums, Inc.","69.17","2176404168.56","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ipar",
"JJSF","J & J Snack Foods Corp.","169.39","3204679754.77","n/a","1986","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/jjsf",
"JILL","J. Jill, Inc.","1.16","51080145.28","n/a","2017","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/jill",
"SJM","J.M. Smucker Company (The)","108.23","12344322981.47","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/sjm",
"JAKK","JAKKS Pacific, Inc.","0.87","30633022.77","n/a","1996","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/jakk",
"JRSH","Jerash Holdings (US), Inc.","5.93","67157250","n/a","2018","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/jrsh",
"JBSS","John B. Sanfilippo & Son, Inc.","77.18","881311936.88","n/a","1991","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/jbss",
"JOUT","Johnson Outdoors Inc.","74.41","749324549.33","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/jout",
"KBSF","KBS Fashion Group Limited","2","5182598","n/a","2013","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/kbsf",
"K","Kellogg Company","64.17","21888013402.26","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/k",
"KDP","Keurig Dr Pepper Inc.","28.57","40191914075.24","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/kdp",
